"mname","symptoms","diseases","category","unit","unit_price","package_unit","package_price","drug","per_unit","indication","contraindication","caution","side_effect"
"Crocin Pain Relief(650+50)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","2.25","10 Tablet","22.53","Paracetamol","650 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Crocin(15 ml)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Drop","1 ml","2.15","15 ml","32.27","Paracetamol","100 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Dexona(Eye)","Diarrhea/dysentery; wound infection symptoms; burn infection symptoms; ear/eye discharge","Bacterial diarrhoea/dysentery; infected wound/burn; external ear infection; conjunctivitis; bowel preparation/hepatic coma support","Drop","2.5 ml","8.32","2.5 ml","8.32","Neomycin","0.50%","Orally used for bacterial diarrhoeas and dysentery.Preparation of bowel before surgery.Hepatic coma.Topically for infected wound,burn,external ear infections,conjunctivities.","Hypersensitivity.Renal Impairment.Pregnancy and lactation.","It decreases absorption of digoxin,bile acid reabsorption and lowers plasma cholesterol levels.Due to marked suppression of gut flora,super infection can occur.","Ototoxicity and nephrotoxicity."
"Dolofen(50 ml)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Suspension","5 ml","1.28","50 ml","12.8","Paracetamol","162.5 mg","Analgesic and antipyretic.","Hypersensitivity.Servere hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Very rare,blood dyscrasias."
"Dex(8 mg)","Severe inflammation; allergy symptoms; swelling; shock symptoms; headache from brain oedema","Allergic/inflammatory conditions; autoimmune disorders; multiple sclerosis exacerbation; unresponsive shock; brain oedema","Injection","1 ml","4.74","2 ml","9.48","Dexamethasone","4 mg","Anti inflammatory and anti allergic,acute exacerbation of multiple sclerosis,autoimmune disorders,unresponsive shock,to reduce brain oedema caused by infections or brain tumour.","Renal failure,diabetes mellitus,psychosis,osteoporosis.CHF,tuberculosis and other systemic infections.Contraindicated during pregnancy","Patients with hypothyroidism,cirrhosis,hypertension,CHF,ulcerative colitis,thromboembolic disoreders,osteoporosis,glaucoma,cataracts or TB of the ye,diabetes.Elderly.children and adolescent,pregnancy and lactation","Cushings habitus(rounded face,narrow mouth).Fragile skin,easy bruising,telengiectasis,hirsutism.Cutaneous atrophy occurs with topical use.Hyperglycaemia.glycosuria,muscular weakness.Delayed healing of wounds and surgical incisions"
"Dom DT(10 mg)","Nausea; vomiting; bloating; reflux; indigestion","Acute nausea/vomiting; reflux oesophagitis; duodenogastric dyspepsia; gastric motility disorder","Tablet","1 Tablet","2.16","10 Tablet","21.6","Domperidone","10 mg","Symptomatic relief of acute nausea and vomiting.Gastric motility disorders such as reflux oesophagitis and duodenogastric dyspeptic symptoms.","Hypersensitivity .GI haemorrhage,obstruction and perforation,patients with prolactin releasing pituitary hormone,chronic admin or routine prophylaxis of postoperative nausea and vomiting","Phaeochromocytoma,children below two year,elderly,renal or hepatic imparirment.Risk of cardiac arrhythmias and hypokalaemia if administered IV.Pregnancy and lactation","Drowsiness,extraphramidal reactions,galactorrhoea,gynaecomatia,constipation or diarrhoea,lassitude,decreased libido,skin rash,itch."
"Eith(500 mg)","Bleeding; nosebleed; blood in vomit/stool/urine/sputum; heavy menstrual bleeding","Capillary haemorrhage; menorrhagia; metrorrhagia; post-abortion/post-partum bleeding; epistaxis; haematuria; haemoptysis; melena","Tablet","1 Tablet","8.9","10 Tablet","89.0","Ethamsylate","500 mg","Prevention and treatment of capillary haemorrhanges associated with(i)Haematemesis,melena.heamoptysis,heamaturia,epitaxis(ii)menorrhagia,metrorrhagia,post-abortion and post-partum haemorrhages.","Hypersensitivity","Patient with acute porphyria.","Headache,rash,nausea.Trasient hypotension with i.v.injection."
"Facital(250 mg)","Fever with chills; sweating; headache; body ache; malaria symptoms","Chloroquine-resistant malaria; severe malaria due to P. falciparum/P. vivax; cerebral malaria","Tablet","1 Tablet","38.33","6 Tablet","230.0","Mefloquine","250 mg","Used as a second line treatment in chloroquine resistant malaria,severe malaria due to P.falciparum and P-vivax including cerebral malaria.","Hypersensitivity.History psychiatric illness and seizure disorders.Lactation.Severe hepatic and renal impairment.","Should be used during pregnancy only if the potential benefits justifies the potential risk to the foetus.","Nausea,vomiting,abdominal pain,diarrhoea,headache,dizziness,sleep disorders,vertigo,visual/auditory disturbances,sialorrhea,syncope,pruritus."
"Facid(20 mg)","Not specified in source; verify drug/indication before use","Not specified in source; verify disease mapping before use","Injection","1 ml","1.2","2 ml","2.39","","","","","",""
"Facicap","Fatigue; weakness; pallor; dizziness; breathlessness on exertion","Iron-deficiency anaemia","Capsule","1 Capsule","1.4","10 Capsule","14.0","Ferrous Fumarate","350 mg","iron-deficiency anaemia","Undiagnosed,megaloblastic anaemia,pernicious,aplastic or normocytic anaemias.","Treatment resistance may occur in patients with depressed haematopoiesis,alcoholism,deficiencies of other vitamins.Neonates.","Rarely hypersensitivity,Gastro-intenstinal irritation can occur with iron salts"
"Glycin(250 mg)","Fever; severe bacterial infection symptoms; burning urination; wound infection symptoms","Serious bacterial infections; gram-negative infection; urinary tract infection; sepsis; respiratory/intra-abdominal infection","Injection","1 Vial","35.0","1 Vial","35.0","Amikacin Sulphate","250 mg","","","",""
"Glyloc(80 mg)","High blood sugar; excessive thirst; frequent urination; fatigue","Type 2 diabetes mellitus; non-insulin dependent diabetes mellitus","Tablet","1 Tablet","3.0","10 Tablet","30.0","Gliclazide","80 mg","Non-insulin dependent diabetes mellitus.","Type 1 DM,diabetes complicated with ketoacidosis,hypersensitivity,severe renal and hepatic impairment.Pregnancy and lactation.","Diuretics and barbiturates may reduce the drug activity.","GI disturbances,skin reaction,leucopenia,vomiting,diarrhoea,gastritis,increased transaminases."
"Glucofit(30 mg)","High blood sugar; excessive thirst; frequent urination; fatigue","Type 2 diabetes mellitus; non-insulin dependent diabetes mellitus","Capsule","1 Capsule","2.0","10 Capsule","20.0","Gliclazide","30 mg","Non-insulin dependent diabetes mellitus.","Type 1 DM,diabetes complicated with ketoacidosis,hypersensitivity,severe renal and hepatic impairment.Pregnancy and lactation.","Diuretics and barbiturates may reduce the drug activity.","GI disturbances,skin reaction,leucopenia,vomiting,diarrhoea,gastritis,increased transaminases."
"Glucogyl(500ml)","Diarrhea; abdominal cramps; foul-smelling discharge; vaginal itching/discharge; mouth/gum infection symptoms","Amoebiasis; giardiasis; trichomoniasis; anaerobic infection; ulcerative gingivitis; H. pylori-associated peptic ulcer adjunct","Infusion","500 ml","35.0","500 ml","35.0","Metronidazole","0.20%","Amoebiasis,giardiasis,trichomonas vaginitus,anaerobic infections,ulcerative gingivitis.Eradication of H.phlori associated with peptic ulcer disease.","Hypersensitivity.Pregnancy and lactation","Patients with CNS diseases.History of seizure disorder.Evidence or a history of blood dyscrasias.Severe hepatic impairment.","Anarexia,nausea,metallic tatse,abdominal cramps,headache,glossistis,dryness of mouth,dizziness,peripheral neuropathy.Hypersensitivity reactions"
"Horac","Bleeding gums; fatigue; poor wound healing; body ache; cold symptoms","Scurvy; vitamin C deficiency; common cold support; asthma/thalassaemia/metabolic disorder support","Capsule","1 Capsule","4.8","10 Capsule","48.0","Vit C","75 mg","Treatment of scurvy.Adjuvent therapy in common cold,asthma,cancer,atherosclerosis.Thalassaemia.Metabolic disorders.","","G6PD deficiency.Haemochromatosis,hyperoxaluria.","Rebound scurvy on stoppage.Increase risk of urinary oxalate stones"
"Hormonorm(25 mg)","Not specified in source; verify drug/indication before use","Not specified in source; verify disease mapping before use","Tablet","1 Tablet","1.2","100 Tablet","120.0","","","","","",""
"Horn(500 mg)","Diarrhea; abdominal pain; vaginal discharge/itching; foul-smelling discharge","Intestinal/hepatic amoebiasis; giardiasis; trichomoniasis; bacterial vaginosis; anaerobic infection","Tablet","1 Tablet","4.8","10 Tablet","48.0","Ornidazole","500 mg","Intestinal and hepatic amoebiasis.Giardiasis.Trichomoniasis.Bactrial vaginosis.Anaerobic infections.","Hypersensitivity","Renal and hepatic impairment.CNS diseases e.g.epilepsy or multiple sclerosis.May impair ability to drive or operate machinery.Pregnancy and lactation","Nausea,pain the abdomen,vertigo,headache,skin rash are generally reported.Somnolence,headache,vomiting,dizziness,tremor,rigidity,poor coordination,tiredness,vertigo,mixed peripheral neuropathy,taste disturbances."
"Ice D","Nausea; vomiting; bloating; reflux; indigestion","Acute nausea/vomiting; reflux oesophagitis; duodenogastric dyspepsia; gastric motility disorder","Tablet","1 Tablet","5.9","10 Tablet","59.0","Domperidone","10 mg","Symptomatic relief of acute nausea and vomiting.Gastric motility disorders such as reflux oesophagitis and duodenogastric dyspeptic symptoms.","Hypersensitivity.GI haemorrhange,obstruction and perforation,patients with prolactin releasing pituitary hormone,chronic admin or routine prophylaxis of postoperative nausea and vomiting","Phaeochromocytoma,children below two year,elderly,renal or hepatic imparirment.Risk of cardiac arrhythmias and hypokalaemia if administered IV.Pregnancy and lactation","Headache,diarrhoea and nausea,rhinitis,abdominal pain,asthenia,flatulence,pharyngitis vomiting non-specific pain-back pain,dizziness,flu syndrome,infection,cough constipation and insomnia."
"Icegel(25 gm)","Muscle pain; joint pain; itching/irritation; sprain pain","Musculoskeletal pain; sprain/strain; topical cooling relief","Gel","25 gm","42.0","25 gm","42.0","Menthol","2% w/w","","","",""
"Icel(100 mg)","Joint pain; swelling; stiffness; back/spine pain","Osteoarthritis; rheumatoid arthritis; ankylosing spondylitis","Capsule","1 Capsule","4.0","10 Capsule","40.0","Celecoxib","100 mg","Pain and inflammation in osteoarthritis","and ankylosing spondylitis","rheumatoid arthritis","monitor blood pressure before treatment and during treatment"
"Laretol(1 mcg)","Muscle cramps; bone pain; weakness; low calcium symptoms","Hypocalcaemia in chronic renal failure/dialysis; renal osteodystrophy; vitamin D-dependent rickets; renal tubular osteomalacia","Injection","1 ml","105.0","1 ml","105.0","Calcitriol(Vit D)","1 mcg","Managing hypocalcemia in patients undergoing dialsia for chronic renal failure.Renal osteodystrophy.Vitamin D dependent rickets,renal tubular osteomalacia.","Hypercalcemia,evidence of vitamin D toxicity,malabsorption syndrome,abnormal sensitivity to the effects of vitamin D,decreased renal function.contraindicated during pregnancy and lactation.","Pediatric doses must be individualized and monitored under close medical supervision.Coronary disease renal function impairment and especially in the elderly.Hypoparathyroidism.","Dry mouth,muscle pain,vomiting,mild acidosis,metalic taste."
"Loperamide(2 mg)","Loose motion; frequent stools; abdominal cramps; exhausting diarrhea","Non-infective diarrhoea; mild traveller's diarrhoea; idiopathic diarrhoea in AIDS","Capsule","1 Capsule","0.63","10 Capsule","6.25","Loperamide","2 mg","Non infective diarrhoea,mild travellers diarrhoea and when diarrhoea is exhausting or idiopathic diarrhoea in AIDS patients.","Acute infective diarrhoeas.Children below the age of four years.","Glaucoma,hepatic dysfunction,Crohns disease,urinary bladder neck obstruction.If used in acute infective diarrhoea then specific drug therapy should be initiated with loperamide.","GI disturbances,rash,gastric retention,intestinal stasis,atony."
"Loperamide(2 mg)(Ethnor Ltd)","Loose motion; frequent stools; abdominal cramps; exhausting diarrhea","Non-infective diarrhoea; mild traveller's diarrhoea; idiopathic diarrhoea in AIDS","Tablet","1 Tablet","0.39","4 Tablet","1.54","Loperamide","2 mg","Non infective diarrhoea,mild travellers diarrhoea and when diarrhoea is exhausting or idiopathic diarrhoea in AIDS patients.","Acute infective diarrhoeas.Children below the age of four years.","Glaucoma,hepatic dysfunction,Crohns disease,urinary bladder neck obstruction.If used in acute infective diarrhoea then specific drug therapy should be initiated with loperamide.","GI disturbances,rash,gastric retention,intestinal stasis,atony."
"Oflotag","Fever; burning urination; cough/respiratory infection symptoms; skin redness/swelling; eye/ear pain or discharge; diarrhea","Urinary/genito-urinary infection; respiratory infection; skin/soft tissue infection; typhoid; tuberculosis support; eye/ear infection","Infusion","5 ml","4.75","100 ml","95.0","Ofloxacin","200 mg","Genito urinary,respiratory,skin and soft tissue infections.Typhoid fever.Acute and sub-acute eye and ear infections.","Hypersensitivity.Epilepsy.Pregnancy and lactation.","Renal insufficiency.Concomitant use of aluminium and magnesium containing antacids.Elderly.","Nausea,vomiting,abdominal pain.diarrhoea,headache,dizziness,insomnia,tendon damage and rupture,anorexia,photosensitivity.Anaphylaxis."
"Oflostar (Eye)(10 ml)","Fever; burning urination; cough/respiratory infection symptoms; skin redness/swelling; eye/ear pain or discharge; diarrhea","Urinary/genito-urinary infection; respiratory infection; skin/soft tissue infection; typhoid; tuberculosis support; eye/ear infection","Drop","1 ml","2.0","10 ml","20.0","Ofloxacin","0.3% w/v","Genito urinary,respiratory,skin and soft tissue infections.Typhoid fever.Acute and sub-acute eye and ear infections.","Hypersensitivity.Epilepsy.Pregnancy and lactation.","Renal insufficiency.Concomitant use of aluminium and magnesium containing antacids.Elderly.","Nausea,vomiting,abdominal pain.diarrhoea,headache,dizziness,insomnia,tendon damage and rupture,anorexia,photosensitivity.Anaphylaxis."
"Ofloren(Eye)(5 ml)","Fever; burning urination; cough/respiratory infection symptoms; skin redness/swelling; eye/ear pain or discharge; diarrhea","Urinary/genito-urinary infection; respiratory infection; skin/soft tissue infection; typhoid; tuberculosis support; eye/ear infection","Drop","5 ml","22.47","5 ml","22.47","Ofloxacin","0.3% w/v","Genito urinary,respiratory,skin and soft tissue infections.Typhoid fever.Acute and sub-acute eye and ear infections.","Hypersensitivity.Epilepsy.Pregnancy and lactation.","Renal insufficiency.Concomitant use of aluminium and magnesium containing antacids.Elderly.",""
"Povicidal(Skin)(100 ml)","Wound redness; wound discharge; mouth soreness; vaginal itching/discharge","Wound infection prevention/treatment; oral candidiasis; oral hygiene; vaginal candidiasis","Lotion","100 ml","60.0","100 ml","60.0","Povidone lodine","5%","Vaginal candidiasis.Treatment and prevention of wound infection.Oral hygiene.Oral candidiasis.","Hypersensitivity.Thyroid disorder.Pregnancy and lactation.Lithium therapy.","Renal impairment or electrolyte imbalance.Avoid contact with eyes.","Local sensitivity and reactions."
"Prinpro(225 mg)","Muscle cramps; bone pain; weakness; low calcium symptoms","Calcium deficiency; osteopenia/osteoporosis support","Powder","200 gm","165.0","200 gm","165.0","Calcium","225 mg","Calcium supplements are usually required where dietary calcium intake is deficient.Calcium supplement is also required in paused menopausal women and persons with osteopenia specially after the age of 60 years.","Patients with Calculi renal calculi or history of renal calculi,hypercalcaemia,hypophosphataemia.","Renal impairment,hypercalcaemia-associated disease eg.other malignancies,sarcoidosis,elderly.","Co-administration with thiazide diuretics or Vit D may lead to milk alkali syndrome and hypercalcaemia.Decreased absorption with coricosteroids.Decreases absorption of tetracyclinea,atenolol,iron,quinolones,Zn and calcium-channel blockers.Enhances cardiac effects of digitialis glycosides and may precipitate digitalis intoxication."
"Prinpro(200 gm)","Weakness; numbness/tingling; nerve pain; premenstrual discomfort","Vitamin B6 deficiency; isoniazid neuropathy; sideroblastic anaemia; premenstrual syndrome","Powder","200 gm","165.0","200 gm","165.0","Pyridoxine","0.5 mg","Deficiency states","Idiopathic sideroblastic anaemia.","Isoniazid neuropathy.","Premenstrual syncirome."
"Pro 3A(200 ml)","Acne; impetigo-like skin lesions; eye/ear irritation; poor wound healing","Zinc deficiency support; acne; impetigo; eye/ear wash use","Syrup","5 ml","1.63","200 ml","65.0","Zinc Sulphate","2.66 mg","For eye and ear wash.Acne and impetigo.","Severe renal impairment.","","May preciperate renal failure."
"Pro 3A(0.84 mg)","Weakness; fatigue; tingling; numbness; confusion; poor appetite","Thiamine deficiency; beriberi; Wernicke-Korsakoff syndrome","Syrup","5 ml","1.63","200 ml","65.0","Vit B1","0.84 mg","Thiamine deficiency.wernicke-korsakoff syndrome.","Hypersensitivity.","High requirements in pregnancy and lactation.","Warm sensation,tingling,pain,weakness,sweating,restleness,tightness of the throat,respiratoty distress,cyanosis,GI bleeding ,vascular collapse."
"Pro 3A(8.33 mg)","Fatigue; dermatitis; mouth soreness; digestive discomfort","Niacin/Vitamin B3 deficiency; pellagra; nutritional deficiency","Syrup","5 ml","1.63","200 ml","65.0","Niacinamide","8.33 mg","","","",""
"Pro 3A(0.5 mg)","Cracked lips; mouth soreness; sore throat; skin rash; eye irritation","Riboflavin deficiency; ariboflavinosis","Syrup","5 ml","1.63","200 ml","65.0","Vit B2","0.5 mg","To prevent and treat ariboflavinosis.","","",""
"Pro 3A(3.33 mg)","Muscle cramps; weakness; fatigue; low magnesium symptoms","Magnesium deficiency; hypomagnesaemia; nutritional deficiency","Syrup","5 ml","1.63","200 ml","65.0","Magnesium Chloride","3.33 mg","","","",""
"Pro 3A(333 mg)","Weakness; poor growth; low appetite; fatigue","Protein-energy malnutrition; nutritional deficiency","Syrup","5 ml","1.63","200 ml","65.0","Protin","333 mg","","","",""
"Triazid(1000 mg)","High fever; severe infection symptoms; headache/neck stiffness; burning urination; abdominal pain","Meningitis; septicemia; typhoid; urinary tract infection; surgical infection prophylaxis","Injection","1 vial","78.0","1 vial","78.0","Ceftriaxone","1000 mg","Meningitis,septicaemia,typhoid,UTI,proplylaxis in surgical infections.","Hypersensitivity","Hepatic or renal dysfunction.Neonates.","Diarrhoea,hypo-prothrombinaemia,pseudomembranous colitis."
"Trisafe(1000 mg)","High fever; severe infection symptoms; headache/neck stiffness; burning urination; abdominal pain","Meningitis; septicemia; typhoid; urinary tract infection; surgical infection prophylaxis","Injection","1 vial","79.0","1 Vial","79.0","Ceftriaxone","1000 mg","Meningitis,septicaemia,typhoid,UTI,proplylaxis in surgical infections.","Hypersensitivity","Hepatic or renal dysfunction.Neonates.","Diarrhoea,hypo-prothrombinaemia,pseudomembranous colitis."
"Sidra","Fatigue; weakness; pallor; mouth soreness; pregnancy nutritional requirement","Folate deficiency; megaloblastic anaemia; neural tube defect prophylaxis; malabsorption-related deficiency","Capsule","1 Capsule","7.5","10 Capsule","75.0","Folic Acid(Vit B9)","1.5 mg","Folate-deficient.Megaloblastic anaemia.Prophylaxis of megaloblastic anemia in pregnancy.Prophylaxis of neural tube defect in pregnancy.Malabsorption syndromes.Antiepileptic therapy.","Undiagnosed,megaloblastic anaemia,pernicious,aplastic or normocytic anaemias.","Treatment resistance may occur in patients with depressed haematopoiesis,alcoholism,deficiencies of other vitamins.Neonates.","Rarely hypersensitivity."
"X Bone","Muscle cramps; bone pain; weakness; low calcium symptoms","Calcium deficiency; hypocalcaemia; osteopenia/osteoporosis support","Tablet","1 Tablet","2.5","10 Tablet","25.0","Calcium Carbonate","500 mg","Calcium deficiency","Conditions associated with hypercalcaemia and hypercalciuria(e.g.some forms of malignant disease)","Renal impairment,sarcoidosis,history of nephrolithiasis,avoid calcium chloride in respiratory acidosis or respiratory failure.","Gastro-intestinal disturbances,bradycardia."
"X Bone(7.5 mg)","Poor wound healing; low immunity; acne; skin/hair issues","Zinc deficiency; nutritional deficiency","Tablet","1 Tablet","2.5","10 Tablet","25.0","Zinc","7.5 mg","","","",""
"X Burn(Skin)","Burn pain; wound redness; wound discharge; ulcer infection symptoms","Severe burn infection prevention/treatment; chronic ulcer infection; anterior eye segment infection","Cream","25 gm","28.0","25 gm","28.0","Silver Sulphadiazine","1% w/w","Prevention and treatment of infection in severe burns and chronic ulcers.Infection of anterior segment of eye.","Hypersensitivity.Pregnancy,lactation and neonates.Porphyria.","Renal or hepatic impairment.G6PD deficiency.","Leucopenia.Burning sensation and itching on local application."
"Zenvit","Bone pain; muscle weakness; fatigue; low calcium symptoms","Vitamin D deficiency; rickets/osteomalacia; hypocalcaemia; postmenopausal osteoporosis support","Syrup","5 ml","1.55","200 ml","62.0","Vit D3","150 iu","Vitamin D deficiency.","Vitamin D deficiency caused by intestinal malabsorption or chronic liver disease.","The hypocalcaemia of hypoparathyroidism.","Management of postmenopausal osteoporosis."
"A Plus","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","8.5","10 Tablet","85.0","Paracetamol","325mg","Analgesic and antipyretic.","Hypersensitivity.Servere hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Abact(100 ml)","Diarrhea; fever; abdominal pain; burning urination; wound redness/swelling; eye redness/discharge","Bacterial gastroenteritis; typhoid; urinary tract infection; gonorrhoea/chancroid; bone/soft tissue/wound/gynaecological infection; conjunctivitis","Infusion","1 ml","0.41","100 ml","41.4","Ciprofloxacin","2 mg","Urinary tract infections.Gonorrhoea.Chancroid.Bacterial Gastroenteritis.Typhoid.Bone,Soft tissue,gynaecological and wound infections.Tuberculosis.","Hypersensitivity,pregnancy,lactation,children and adolescents.","Renal or hepatic impairment.G6PD deficiency.QT prolongation or risk.Electrolyte disturbances.","GI disturbances.Headache,restleness and arthralgia.Phototoxicity.Anaphylactoid reaction.Mild transient smarting sensation and conjunctival congestion.Convulsions,rashes."
